lemma,PoS,freq(ipm)
успокоиться,v,46.1
исключить,v,46.0
лечение,s,46.0
мода,s,46.0
особенный,a,46.0
прозрачный,a,46.0
церковный,a,46.0
громкий,a,45.9
отсутствовать,v,45.9
поражение,s,45.9
рубашка,s,45.9
луна,s,45.8
нужда,s,45.8
привет,s,45.8
собор,s,45.8
съемка,s,45.8
владеть,v,45.7
груз,s,45.7
подробность,s,45.7
трагедия,s,45.7
самостоятельный,a,45.6
сзади,adv,45.6
политик,s,45.5
торчать,v,45.5
луч,s,45.4
спасение,s,45.4
экзамен,s,45.4
внизу,adv,45.3
добыча,s,45.3
проявление,s,45.3
пуля,s,45.3
жест,s,45.2
постараться,v,45.2
соединить,v,45.2
убедить,v,45.2
электрический,a,45.2
задавать,v,45.1
свидетельство,s,45.1
заложить,v,45.0
нервный,a,45.0
отлично,adv,45.0
ассоциация,s,44.9
салон,s,44.9
заметный,a,44.8
корова,s,44.8
молчание,s,44.8
отпуск,s,44.8
питание,s,44.8
реализовать,v,44.8
девчонка,s,44.7
капля,s,44.7
важнейший,a,44.6
выяснить,v,44.6
стратегический,a,44.6
исполнять,v,44.5
общаться,v,44.5
одинокий,a,44.5
повернуть,v,44.5
бюджетный,a,44.4
останавливаться,v,44.4
дар,s,44.3
поставка,s,44.3
оркестр,s,44.2
совершать,v,44.2
воевать,v,44.1
выдавать,v,44.1
задать,v,44.1
ненавидеть,v,44.1
родить,v,44.1
интервью,s,44.0
критика,s,44.0
наступать,v,44.0
двенадцать,num,43.9
миллиард,s,43.9
ответственный,a,43.9
спасибо,part,43.9
выявить,v,43.8
пожар,s,43.8
предупредить,v,43.8
рыночный,a,43.8
набрать,v,43.7
предназначить,v,43.7
тщательно,adv,43.7
холод,s,43.7
шар,s,43.7
компонент,s,43.6
статистика,s,43.6
тетка,s,43.6
уничтожить,v,43.6
учесть,v,43.6
цикл,s,43.6
чрезвычайно,adv,43.6
освободить,v,43.5
отнюдь,adv,43.5
стыдно,adv,43.5
эпизод,s,43.5
якобы,part,43.5
взрослый,s,43.4
воспринимать,v,43.4
крутой,a,43.4
обида,s,43.4
обслуживание,s,43.4
потенциал,s,43.4
прекратить,v,43.4
противоположный,a,43.4
ненависть,s,43.3
нередко,adv,43.3
персонаж,s,43.3
руль,s,43.3
совещание,s,43.3
увеличить,v,43.3
наблюдаться,v,43.2
непременно,adv,43.2
объединить,v,43.2
подозревать,v,43.2
религия,s,43.2
рыжий,a,43.2
справиться,v,43.2
съесть,v,43.2
текущий,a,43.2
вестись,v,43.1
молодость,s,43.1
отнести,v,43.1
различие,s,43.1
упомянуть,v,43.1
ядерный,a,43.1
вклад,s,43.0
карьера,s,43.0
кладбище,s,43.0
облако,s,43.0
обыкновенный,a,43.0
гонка,s,42.9
отдыхать,v,42.9
отчего,advpro,42.9
проверять,v,42.9
рукав,s,42.9
сокращение,s,42.9
туман,s,42.9
шофер,s,42.9
бандит,s,42.8
врать,v,42.8
подлинный,a,42.8
чемодан,s,42.8
атака,s,42.7
вынужденный,a,42.7
заработать,v,42.7
превращаться,v,42.7
роза,s,42.7
указ,s,42.7
восстановление,s,42.6
грубый,a,42.6
сложность,s,42.6
создаваться,v,42.6
игрок,s,42.5
плыть,v,42.5
побывать,v,42.5
построение,s,42.5
продолжение,s,42.5
скандал,s,42.5
труп,s,42.5
кое-что,spro,42.4
металлический,a,42.4
происхождение,s,42.4
путешествие,s,42.4
справедливость,s,42.4
тонна,s,42.4
абсолютный,a,42.3
гарантия,s,42.3
мгновенно,adv,42.3
вождь,s,42.2
месторождение,s,42.2
мина,s,42.2
орден,s,42.2
пластинка,s,42.2
рассматриваться,v,42.2
уважать,v,42.2
выскочить,v,42.1
крестьянин,s,42.1
образоваться,v,42.1
проговорить,v,42.1
хранить,v,42.1
юноша,s,42.1
бабка,s,42.0
вызов,s,42.0
издательство,s,42.0
существенно,adv,42.0
интеллектуальный,a,41.9
полка,s,41.9
статистический,a,41.9
шестой,anum,41.9
дитя,s,41.8
необычный,a,41.8
обрадоваться,v,41.7
покупка,s,41.7
пропустить,v,41.7
ровно,adv,41.7
танцевать,v,41.7
бровь,s,41.6
доверие,s,41.6
дождаться,v,41.6
избрать,v,41.6
колонна,s,41.6
недавний,a,41.6
падение,s,41.6
рекламный,a,41.6
стратегия,s,41.6
боец,s,41.5
завести,v,41.5
захватить,v,41.5
оглянуться,v,41.5
описывать,v,41.5
сунуть,v,41.5
интернет,s,41.4
исчезать,v,41.4
разделить,v,41.4
складываться,v,41.4
ведение,s,41.3
тарелка,s,41.3
удача,s,41.3
деятель,s,41.2
иначе,conj,41.2
последовать,v,41.2
служебный,a,41.2
выстрел,s,41.1
отражать,v,41.1
полгода,s,41.1
куртка,s,41.0
письменный,a,41.0
приближаться,v,41.0
флот,s,41.0
бытие,s,40.9
вступать,v,40.9
единство,s,40.9
итальянский,a,40.9
надоесть,v,40.9
оператор,s,40.9
половой,a,40.9
физика,s,40.9
интересоваться,v,40.8
мышление,s,40.8
подлежать,v,40.8
приход,s,40.8
произносить,v,40.8
раскрыть,v,40.8
твердо,adv,40.8
шеф,s,40.8
арестовать,v,40.7
глухой,a,40.7
одиночество,s,40.7
предварительный,a,40.7
целовать,v,40.7
чеченский,a,40.7
экологический,a,40.7
длительный,a,40.6
кой,apro,40.6
орать,v,40.6
отвести,v,40.6
тянуться,v,40.6
шапка,s,40.6
достаться,v,40.5
ложка,s,40.5
подпись,s,40.5
полагаться,v,40.5
страховой,a,40.5
актриса,s,40.4
внутри,adv,40.4
всеобщий,a,40.4
демократический,a,40.4
когда-нибудь,advpro,40.4
колхоз,s,40.4
куча,s,40.4
открываться,v,40.4
прогноз,s,40.4
сохранять,v,40.4
цивилизация,s,40.4
белок,s,40.3
вернее,adv,40.3
воспользоваться,v,40.3
заметно,adv,40.3
кот,s,40.3
остановка,s,40.3
платок,s,40.3
радостно,adv,40.3
ага,intj,40.2
локоть,s,40.2
махнуть,v,40.2
методика,s,40.2
мука,s,40.2
яйцо,s,40.2
голод,s,40.1
душевный,a,40.1
жалоба,s,40.1
концентрация,s,40.1
музыкант,s,40.1
нигде,advpro,40.1
охота,s,40.1
приобретать,v,40.1
сложить,v,40.1
вскочить,v,40.0
выражать,v,40.0
повесть,s,40.0
понадобиться,v,40.0
глупость,s,39.9
картошка,s,39.9
переулок,s,39.9
печальный,a,39.9
поглядеть,v,39.9
сделаться,v,39.9
домик,s,39.8
замуж,adv,39.8
исполнитель,s,39.8
поинтересоваться,v,39.8
страдание,s,39.8
ветка,s,39.7
заказчик,s,39.7
лапа,s,39.7
пенсионный,a,39.7
признаваться,v,39.7
священник,s,39.7
восприятие,s,39.6
высказать,v,39.6
дважды,adv,39.6
заведение,s,39.6
лекарство,s,39.6
мелочь,s,39.6
объективный,a,39.6
пища,s,39.6
свадьба,s,39.6
ложиться,v,39.5
подушка,s,39.5
проявить,v,39.5
справка,s,39.5
спуститься,v,39.5
теоретический,a,39.5
тьма,s,39.5
юг,s,39.5
башня,s,39.4
влиять,v,39.4
довести,v,39.4
нету,adv,39.4
обвинение,s,39.4
соль,s,39.4
тариф,s,39.4
умение,s,39.4
содержаться,v,39.3
агент,s,39.2
гений,s,39.2
иск,s,39.2
лекция,s,39.2
моральный,a,39.2
нагрузка,s,39.2
намерение,s,39.2
подтверждать,v,39.2
хранение,s,39.2
ботинок,s,39.1
защитить,v,39.1
инвестиционный,a,39.1
исполнить,v,39.1
подвиг,s,39.1
воскресенье,s,39.0
чей-то,apro,39.0
заплатить,v,38.9
земельный,a,38.9
молодец,s,38.9
управлять,v,38.9
авиация,s,38.8
дневник,s,38.8
летчик,s,38.8
невероятный,a,38.8
одеяло,s,38.8
спрятать,v,38.8
вертолет,s,38.7
вправе,adv,38.7
законодательный,a,38.7
привлекать,v,38.7
приговор,s,38.7
протяжение,s,38.7
вечерний,a,38.6
внук,s,38.6
идеальный,a,38.6
исследовать,v,38.6
непосредственный,a,38.6
президентский,a,38.6
сочетание,s,38.6
столичный,a,38.6
хозяйственный,a,38.6
баня,s,38.5
демократия,s,38.5
нанести,v,38.5
приготовить,v,38.5
прыгать,v,38.5
вовремя,adv,38.4
диалог,s,38.4
сладкий,a,38.4
водный,a,38.3
вынудить,v,38.3
гриб,s,38.3
пояснить,v,38.3
расширение,s,38.3
волнение,s,38.2
доступный,a,38.2
контролировать,v,38.2
полиция,s,38.2
применяться,v,38.2
руководить,v,38.2
строиться,v,38.2
богатство,s,38.1
измерение,s,38.1
отчаяние,s,38.1
пиджак,s,38.1
рассчитать,v,38.1
сахар,s,38.1
столетие,s,38.1
уважаемый,a,38.1
цирк,s,38.1
шутить,v,38.1
банковский,a,38.0
благо,s,38.0
молиться,v,38.0
пользование,s,38.0
точность,s,38.0
коллекция,s,37.9
манера,s,37.9
полчаса,s,37.9
сперва,adv,37.9
цветной,a,37.9
цех,s,37.9
бумажка,s,37.8
восстановить,v,37.8
вынуть,v,37.8
жилой,a,37.8
подъем,s,37.8
свидание,s,37.8
смесь,s,37.8
страхование,s,37.8
империя,s,37.7
красавица,s,37.7
оперативный,a,37.7
отдельно,adv,37.7
христианский,a,37.7
разнообразный,a,37.6
разум,s,37.6
тесный,a,37.6
блестящий,a,37.5
гордость,s,37.5
динамика,s,37.5
дон,s,37.5
жестокий,a,37.5
плотный,a,37.5
рисовать,v,37.5
четкий,a,37.5
ох,intj,37.4
подробно,adv,37.4
публичный,a,37.4
рекомендовать,v,37.4
седьмой,anum,37.4
студия,s,37.4
двести,num,37.3
плита,s,37.3
пояс,s,37.3
приниматься,v,37.3
суббота,s,37.3
аэропорт,s,37.2
брюки,s,37.2
настаивать,v,37.2
рукопись,s,37.2
авторитет,s,37.1
граф,s,37.1
дорожка,s,37.1
исследователь,s,37.1
историк,s,37.1
исходный,a,37.1
кафе,s,37.1
по-видимому,adv,37.1
придавать,v,37.1
социалистический,a,37.1
тренер,s,37.1
глянуть,v,37.0
доставить,v,37.0
замереть,v,37.0
мышь,s,37.0
оказать,v,37.0
окружение,s,37.0
замечание,s,36.9
замысел,s,36.9
модный,a,36.9
мышца,s,36.9
продавец,s,36.9
ровный,a,36.9
нравственный,a,36.8
планировать,v,36.8
своеобразный,a,36.8
соотношение,s,36.8
успешный,a,36.8
благородный,a,36.7
вечно,adv,36.7
карточка,s,36.7
осуществить,v,36.7
отозваться,v,36.7
разбить,v,36.7
разойтись,v,36.7
священный,a,36.7
фабрика,s,36.7
явный,a,36.7
мимо,adv,36.6
перенести,v,36.6
поначалу,adv,36.6
посол,s,36.6
суровый,a,36.6
существующий,a,36.6
бледный,a,36.5
всерьез,adv,36.5
испытать,v,36.5
катастрофа,s,36.5
пачка,s,36.5
столовая,s,36.5
ужин,s,36.5
установление,s,36.5
закрывать,v,36.4
окончить,v,36.4
оценивать,v,36.4
училище,s,36.4
шоссе,s,36.4
акционер,s,36.3
городок,s,36.3
картинка,s,36.3
легенда,s,36.3
ленинградский,a,36.3
соображение,s,36.3
сообщество,s,36.3
икона,s,36.2
коньяк,s,36.2
посетитель,s,36.2
собеседник,s,36.2
удивительно,adv,36.2
волк,s,36.1
сопротивление,s,36.1
срочно,adv,36.1
халат,s,36.1
вуз,s,36.0
жанр,s,36.0
идеал,s,36.0
ключевой,a,36.0
неплохо,adv,36.0
поправка,s,36.0
юность,s,36.0
божественный,a,35.9
лента,s,35.9
нарушить,v,35.9
ощутить,v,35.9
частица,s,35.9
бомба,s,35.8
композитор,s,35.8
крыльцо,s,35.8
научить,v,35.8
пациент,s,35.8
сок,s,35.8
сопровождать,v,35.8
тяжесть,s,35.8
штамм,s,35.8
замена,s,35.7
искусственный,a,35.7
кусочек,s,35.7
намерен,a,35.7
однако,adv,35.7
победитель,s,35.7
приезд,s,35.7
пробовать,v,35.7
стучать,v,35.7
сумасшедший,a,35.7
устойчивый,a,35.7
экспедиция,s,35.7
аспект,s,35.6
вчерашний,a,35.6
еле,adv,35.6
интеллигенция,s,35.6
коммунистический,a,35.6
независимо,adv,35.6
окончательный,a,35.6
противоречие,s,35.6
взаимный,a,35.5
военный,s,35.5
выставить,v,35.5
напечатать,v,35.5
преступник,s,35.5
прикрыть,v,35.5
пускать,v,35.5
развитой,a,35.5
сиять,v,35.5
строение,s,35.5
ущерб,s,35.5
делиться,v,35.4
идеология,s,35.4
подросток,s,35.4
правление,s,35.4
проживать,v,35.4
чемпион,s,35.4
архив,s,35.3
вслух,adv,35.3
дискуссия,s,35.3
изобразить,v,35.3
изучить,v,35.3
мягко,adv,35.3
немножко,adv,35.3
освобождение,s,35.3
подвести,v,35.3
призвать,v,35.3
производиться,v,35.3
самостоятельно,adv,35.3
сооружение,s,35.3
достигать,v,35.2
качественный,a,35.2
копейка,s,35.2
коротко,adv,35.2
допускать,v,35.1
нерв,s,35.1
посылать,v,35.1
приличный,a,35.1
раствор,s,35.1
туалет,s,35.1
утратить,v,35.1
хор,s,35.1
анекдот,s,35.0
захотеться,v,35.0
класть,v,35.0
несомненно,adv,35.0
слышно,adv,35.0
сырье,s,35.0
царский,a,35.0
численность,s,35.0
штаны,s,35.0
возразить,v,34.9
грозить,v,34.9
железнодорожный,a,34.9
изо,pr,34.9
искренне,adv,34.9
пленка,s,34.9
подобрать,v,34.9
пребывание,s,34.9
репетиция,s,34.9
образовывать,v,34.8
отражение,s,34.8
предполагаться,v,34.8
проявлять,v,34.8
серебряный,a,34.8
удовлетворение,s,34.8
устанавливать,v,34.8
экипаж,s,34.8
актуальный,a,34.7
водить,v,34.7
награда,s,34.7
непонятно,adv,34.7
поход,s,34.7
сплошной,a,34.7
выдающийся,a,34.6
помолчать,v,34.6
украинский,a,34.6
худой,a,34.6
газовый,a,34.5
иностранец,s,34.5
морда,s,34.5
перо,s,34.5
претензия,s,34.5
разумный,a,34.5
россиянин,s,34.5
должностной,a,34.4
постоять,v,34.4
проза,s,34.4
сдавать,v,34.4
справа,adv,34.4
четверть,s,34.4
архитектура,s,34.3
демонстрировать,v,34.3
любопытство,s,34.3
маска,s,34.3
опера,s,34.3
посидеть,v,34.3
распространить,v,34.3
спускаться,v,34.3
благодарность,s,34.2
великолепный,a,34.2
госпиталь,s,34.2
догадываться,v,34.2
изображать,v,34.2
исключительно,adv,34.2
маршрут,s,34.2
незаметно,adv,34.2
сержант,s,34.2
точно,conj,34.2
шляпа,s,34.2
экземпляр,s,34.2
белье,s,34.1
бродить,v,34.1
ведро,s,34.1
возникновение,s,34.1
мастерская,s,34.1
невидимый,a,34.1
нормативный,a,34.1
офис,s,34.1
положенный,a,34.1
по-настоящему,adv,34.1
седой,a,34.1
слабость,s,34.1
ссылка,s,34.1
холодно,adv,34.1
автомобильный,a,34.0
быт,s,34.0
лампа,s,34.0
опираться,v,34.0
посоветовать,v,34.0
разглядывать,v,34.0
толк,s,34.0
убийца,s,34.0
фантазия,s,34.0
вселенная,s,33.9
де,part,33.9
задержать,v,33.9
любитель,s,33.9
малыш,s,33.9
нарисовать,v,33.9
одеть,v,33.9
повышенный,a,33.9
призыв,s,33.9
располагаться,v,33.9
справедливый,a,33.9
беседовать,v,33.8
гигантский,a,33.8
заболеть,v,33.8
конституционный,a,33.8
облик,s,33.8
подземный,a,33.8
превратить,v,33.8
преподаватель,s,33.8
сайт,s,33.8
слева,adv,33.8
горизонт,s,33.7
давний,a,33.7
дивизия,s,33.7
доверять,v,33.7
изба,s,33.7
копия,s,33.7
налить,v,33.7
небесный,a,33.7
отдохнуть,v,33.7
покачать,v,33.7
регулирование,s,33.7
течь,v,33.7
вплоть,adv,33.6
гнать,v,33.6
натура,s,33.6
нефтяной,a,33.6
обусловить,v,33.6
голодный,a,33.5
доступ,s,33.5
законопроект,s,33.5
избирательный,a,33.5
компьютерный,a,33.5
подвал,s,33.5
порт,s,33.5
связывать,v,33.5
уголь,s,33.5
удивить,v,33.5
укрепление,s,33.5
устав,s,33.5
философский,a,33.5
бассейн,s,33.4
биться,v,33.4
двойной,a,33.4
здорово,adv,33.4
инстанция,s,33.4
медведь,s,33.4
нынче,adv,33.4
отъезд,s,33.4
процессуальный,a,33.4
тотчас,adv,33.4
архитектор,s,33.3
браться,v,33.3
космос,s,33.3
меч,s,33.3
охранник,s,33.3
присесть,v,33.3
психический,a,33.3
судно,s,33.3
тратить,v,33.3
чашка,s,33.3
разрушить,v,33.2
волновать,v,33.1
воображение,s,33.1
квартал,s,33.1
курица,s,33.1
невольно,adv,33.1
окружить,v,33.1
плавать,v,33.1
преобразование,s,33.1
развивать,v,33.1
спасать,v,33.1
топливо,s,33.1
элита,s,33.1
ветвь,s,33.0
видеться,v,33.0
возглавлять,v,33.0
глобальный,a,33.0
девица,s,33.0
инвестор,s,33.0
инструкция,s,33.0
кнопка,s,33.0
обязать,v,33.0
польский,a,33.0
потенциальный,a,33.0
почта,s,33.0
юмор,s,33.0
вначале,adv,32.9
гордиться,v,32.9
доказывать,v,32.9
палка,s,32.9
проявляться,v,32.9
пустота,s,32.9
сообразить,v,32.9
фонарь,s,32.9
заказать,v,32.8
коллективный,a,32.8
наркотик,s,32.8
премьер,s,32.8
трогать,v,32.8
актив,s,32.7
завершить,v,32.7
пользователь,s,32.7
посреди,pr,32.7
соревнование,s,32.7
столб,s,32.7
француз,s,32.7
холм,s,32.7
аккуратно,adv,32.6
большевик,s,32.6
вдвоем,adv,32.6
отменить,v,32.6
печь,s,32.6
попасться,v,32.6
поцеловать,v,32.6
пугать,v,32.6
сиденье,s,32.6
выплата,s,32.5
избежать,v,32.5
наибольший,a,32.5
отставка,s,32.5
перестройка,s,32.5
подхватить,v,32.5
потрясти,v,32.5
предоставлять,v,32.5
словом,adv,32.5
советовать,v,32.5
сорт,s,32.5
стеклянный,a,32.5
трасса,s,32.5
ангел,s,32.4
атомный,a,32.4
выбросить,v,32.4
доложить,v,32.4
лифт,s,32.4
мрачный,a,32.4
объясняться,v,32.4
профессионал,s,32.4
рекомендация,s,32.4
скрыть,v,32.4
градус,s,32.3
запрос,s,32.3
кабина,s,32.3
обидеться,v,32.3
отказать,v,32.3
повесить,v,32.3
посетить,v,32.3
приобретение,s,32.3
разбираться,v,32.3
террорист,s,32.3
штраф,s,32.3
двинуться,v,32.2
достаточный,a,32.2
замолчать,v,32.2
медаль,s,32.2
окружать,v,32.2
отрицательный,a,32.2
последовательность,s,32.2
приглашение,s,32.2
пусть,conj,32.2
уголок,s,32.2
успевать,v,32.2
фото,s,32.2
головной,a,32.1
обрести,v,32.1
перерыв,s,32.1
подчеркивать,v,32.1
разрыв,s,32.1
угодно,adv,32.1
бытовой,a,32.0
горький,a,32.0
департамент,s,32.0
комментарий,s,32.0
орудие,s,32.0
отель,s,32.0
переводить,v,32.0
полезть,v,32.0
радостный,a,32.0
храниться,v,32.0
эмоция,s,32.0
аудитория,s,31.9
жидкость,s,31.9
коэффициент,s,31.9
мышка,s,31.9
ножка,s,31.9
оригинальный,a,31.9
революционный,a,31.9
спутник,s,31.9
типичный,a,31.9
трагический,a,31.9
утренний,a,31.9
веревка,s,31.8
взаимоотношения,s,31.8
вырваться,v,31.8
заинтересовать,v,31.8
издать,v,31.8
помешать,v,31.8
посольство,s,31.8
свободно,adv,31.8
сексуальный,a,31.8
старушка,s,31.8
стать,s,31.8
ступень,s,31.8
ценить,v,31.8
борода,s,31.7
дисциплина,s,31.7
затылок,s,31.7
невеста,s,31.7
сравнить,v,31.7
факультет,s,31.7
группировка,s,31.6
дыра,s,31.6
император,s,31.6
свеча,s,31.6
таинственный,a,31.6
таможенный,a,31.6
тащить,v,31.6
вероятность,s,31.5
плюс,conj,31.5
принципиальный,a,31.5
совпадать,v,31.5
благодарить,v,31.4
вот-вот,adv,31.4
направиться,v,31.4
пообещать,v,31.4
развернуть,v,31.4
снизу,adv,31.4
удачный,a,31.4
чудесный,a,31.4
блюдо,s,31.3
грань,s,31.3
критик,s,31.3
организатор,s,31.3
парламент,s,31.3
посадка,s,31.3
посуда,s,31.3
прозвучать,v,31.3
противный,a,31.3
себе,part,31.3
соглашаться,v,31.3
уверенно,adv,31.3
царство,s,31.3
экспорт,s,31.3
боевик,s,31.2
вредный,a,31.2
доставать,v,31.2
зарегистрировать,v,31.2
книжный,a,31.2
начальный,a,31.2
неприятность,s,31.2
обмануть,v,31.2
обнять,v,31.2
оглядываться,v,31.2
опасаться,v,31.2
портфель,s,31.2
почетный,a,31.2
правительственный,a,31.2
сменить,v,31.2
воинский,a,31.1
дурной,a,31.1
кожаный,a,31.1
конкуренция,s,31.1
перспективный,a,31.1
рассуждать,v,31.1
сторонник,s,31.1
супруг,s,31.1
украсть,v,31.1
целиком,adv,31.1
вообще-то,part,31.0
заявлять,v,31.0
ошибиться,v,31.0
персонал,s,31.0
повысить,v,31.0
показание,s,31.0
по-русски,adv,31.0
поручить,v,31.0
послание,s,31.0
предоставление,s,31.0
профиль,s,31.0
учебник,s,31.0
ближний,a,30.9
выгодный,a,30.9
заполнить,v,30.9
игрушка,s,30.9
критический,a,30.9
крышка,s,30.9
наступление,s,30.9
опуститься,v,30.9
оформление,s,30.9
развести,v,30.9
экспериментальный,a,30.9
заплакать,v,30.8
заслужить,v,30.8
засыпать,v,30.8
наряду,adv,30.8
недостаточно,adv,30.8
понедельник,s,30.8
премьера,s,30.8
преодолеть,v,30.8
телеграмма,s,30.8
трудиться,v,30.8
эх,intj,30.8
высказывание,s,30.7
конкурент,s,30.7
официально,adv,30.7
пес,s,30.7
подряд,adv,30.7
пожалеть,v,30.7
скала,s,30.7
торжественный,a,30.7
FALSE,s,30.7
грузовик,s,30.6
грустный,a,30.6
комплексный,a,30.6
лечить,v,30.6
неплохой,a,30.6
перечень,s,30.6
ритм,s,30.6
такси,s,30.6
улучшение,s,30.6
философ,s,30.6
валяться,v,30.5
воин,s,30.5
жара,s,30.5
зарабатывать,v,30.5
олигарх,s,30.5
охватить,v,30.5
предусматривать,v,30.5
строчка,s,30.5
фрагмент,s,30.5
бюро,s,30.4
выражаться,v,30.4
доходить,v,30.4
жалкий,a,30.4
обидеть,v,30.4
обойти,v,30.4
посторонний,a,30.4
проспект,s,30.4
самоуправление,s,30.4
сборная,s,30.4
сломать,v,30.4
тогдашний,a,30.4
вытянуть,v,30.3
даваться,v,30.3
зерно,s,30.3
ледяной,a,30.3
отвернуться,v,30.3
платеж,s,30.3
потребление,s,30.3
прощать,v,30.3
рухнуть,v,30.3
свернуть,v,30.3
стесняться,v,30.3
возражать,v,30.2
вред,s,30.2
выделяться,v,30.2
кафедра,s,30.2
напиток,s,30.2
осветить,v,30.2
приступить,v,30.2
пробормотать,v,30.2
структурный,a,30.2
яма,s,30.2
англичанин,s,30.1
длиться,v,30.1
занятый,a,30.1
изложить,v,30.1
кругом,adv,30.1
лицензия,s,30.1
обозначить,v,30.1
полюбить,v,30.1
пот,s,30.1
проиграть,v,30.1
пятница,s,30.1
распахнуть,v,30.1
рота,s,30.1
семейство,s,30.1
сосна,s,30.1
убеждение,s,30.1
форум,s,30.1
шампанское,s,30.1
могучий,a,30.0
оттенок,s,30.0
провожать,v,30.0
реагировать,v,30.0
рисковать,v,30.0
устроиться,v,30.0
громадный,a,29.9
подобно,pr,29.9
пустыня,s,29.9
сборник,s,29.9
словно,part,29.9
сталинский,a,29.9
увеличиться,v,29.9
военнослужащий,s,29.8
кончить,v,29.8
надолго,adv,29.8
объявление,s,29.8
поза,s,29.8
сельскохозяйственный,a,29.8
столкнуться,v,29.8
блеск,s,29.7
заснуть,v,29.7
папка,s,29.7
размышление,s,29.7
регулярно,adv,29.7
свести,v,29.7
смешно,adv,29.7
современник,s,29.7
авария,s,29.6
отправляться,v,29.6
прогулка,s,29.6
сбить,v,29.6
секс,s,29.6
славный,a,29.6
среднее,s,29.6
степь,s,29.6
бизнесмен,s,29.5
британский,a,29.5
дура,s,29.5
ковер,s,29.5
кончаться,v,29.5
кредитный,a,29.5
любопытный,a,29.5
нарушать,v,29.5
пламя,s,29.5
реально,adv,29.5
старость,s,29.5
стрельба,s,29.5
верх,s,29.4
внедрение,s,29.4
вступление,s,29.4
выпасть,v,29.4
добиваться,v,29.4
накануне,pr,29.4
оптимальный,a,29.4
предупреждать,v,29.4
прервать,v,29.4
районный,a,29.4
рана,s,29.4
стандартный,a,29.4
счесть,v,29.4
треть,s,29.4
ус,s,29.4
флаг,s,29.4
чистота,s,29.4
варить,v,29.3
крепость,s,29.3
некоторые,spro,29.3
полететь,v,29.3
призывать,v,29.3
психолог,s,29.3
расположение,s,29.3
фаза,s,29.3
чуть-чуть,adv,29.3
выбраться,v,29.2
выделять,v,29.2
намного,adv,29.2
недалеко,adv,29.2
немалый,a,29.2
охотно,adv,29.2
расстрелять,v,29.2
совместно,adv,29.2
асфальт,s,29.1
бессмысленный,a,29.1
валюта,s,29.1
натуральный,a,29.1
негативный,a,29.1
откровенно,adv,29.1
палатка,s,29.1
перевозка,s,29.1
плоский,a,29.1
разглядеть,v,29.1
стойка,s,29.1
успокоить,v,29.1
холодильник,s,29.1
ветеран,s,29.0
вор,s,29.0
выделение,s,29.0
где-нибудь,advpro,29.0
кинуться,v,29.0
листок,s,29.0
переставать,v,29.0
предок,s,29.0
расследование,s,29.0
решетка,s,29.0
сибирский,a,29.0
скамейка,s,29.0
слабо,adv,29.0
торжество,s,29.0
экспертиза,s,29.0
боковой,a,28.9
делегация,s,28.9
дорожный,a,28.9
миф,s,28.9
соблюдение,s,28.9
ступенька,s,28.9
турнир,s,28.9
формироваться,v,28.9
щель,s,28.9
гнев,s,28.8
заглядывать,v,28.8
задумываться,v,28.8
командовать,v,28.8
льгота,s,28.8
математический,a,28.8
менеджер,s,28.8
мыть,v,28.8
немного,num,28.8
отобрать,v,28.8
предположение,s,28.8
сложно,adv,28.8
хохотать,v,28.8
батарея,s,28.7
идеологический,a,28.7
контекст,s,28.7
незаконный,a,28.7
познание,s,28.7
скрыться,v,28.7
авиационный,a,28.6
видать,v,28.6
выжить,v,28.6
выносить,v,28.6
железо,s,28.6
заодно,adv,28.6
записывать,v,28.6
избиратель,s,28.6
некуда,adv,28.6
перебить,v,28.6
программный,a,28.6
рейтинг,s,28.6
самарский,a,28.6
скважина,s,28.6
специальность,s,28.6
тронуть,v,28.6
аргумент,s,28.5
дверца,s,28.5
огонек,s,28.5
прогресс,s,28.5
строитель,s,28.5
угодно,part,28.5
шестьдесят,num,28.5
базовый,a,28.4
биологический,a,28.4
ген,s,28.4
гениальный,a,28.4
деревенский,a,28.4
загадочный,a,28.4
певец,s,28.4
прятаться,v,28.4
размышлять,v,28.4
ремень,s,28.4
соперник,s,28.4
соседка,s,28.4
грозный,a,28.3
завтрак,s,28.3
отчасти,adv,28.3
подозрение,s,28.3
проклятый,a,28.3
располагать,v,28.3
ружье,s,28.3
следом,adv,28.3
стремительно,adv,28.3
балкон,s,28.2
волшебный,a,28.2
заслуга,s,28.2
зачастую,adv,28.2
изготовление,s,28.2
контора,s,28.2
ломать,v,28.2
огород,s,28.2
подводный,a,28.2
приложение,s,28.2
рваться,v,28.2
речка,s,28.2
социализм,s,28.2
сырой,a,28.2
терроризм,s,28.2
уничтожение,s,28.2
эра,s,28.2
беспокоиться,v,28.1
заканчиваться,v,28.1
оформить,v,28.1
первичный,a,28.1
предстоящий,a,28.1
трамвай,s,28.1
финал,s,28.1
шептать,v,28.1
восьмой,anum,28.0
галстук,s,28.0
колбаса,s,28.0
математика,s,28.0
миновать,v,28.0
независимость,s,28.0
нелепый,a,28.0
патриарх,s,28.0
разделять,v,28.0
реконструкция,s,28.0
сформулировать,v,28.0
набережная,s,27.9
наполнить,v,27.9
недовольный,a,27.9
недра,s,27.9
переживание,s,27.9
поздравлять,v,27.9
покидать,v,27.9
баланс,s,27.8
блестеть,v,27.8
вносить,v,27.8
девка,s,27.8
знамя,s,27.8
